校名,學系名稱,學科能力測驗及英語聽力測驗檢定標準,採計科目及加權(含學測、分科及術科)
東海大學,行政管理暨政策學系,---,公民與社會(分科) x 1.50、社　會(學測) x 2.00、國　文(學測) x 1.00
東海大學,社會工作學系,---,公民與社會(分科) x 2.00、國　文(學測) x 1.50、社　會(學測) x 1.00
東海大學,歷史學系,---,歷　史(分科) x 2.00、社　會(學測) x 2.00、國　文(學測) x 1.00
東海大學,日本語言文化學系,---,英　文(學測) x 1.50、國　文(學測) x 1.50、公民與社會(分科) x 1.75
東海大學,生命科學系(生物醫學組),---,生　物(分科) x 2.00、英　文(學測) x 2.00、化　學(分科) x 1.50
東海大學,環境科學與工程學系,數學 A (底標)或 數學 B (底標),化　學(分科) x 2.00、英　文(學測) x 1.50、國　文(學測) x 1.50
東海大學,化學工程與材料工程學系,---,化　學(分科) x 2.00、數學甲(分科) x 2.00、物　理(分科) x 1.00
東海大學,工業設計學系(A組),---,國　文(學測) x 2.00、英　文(學測) x 2.00、物　理(分科) x 1.00
東海大學,財務金融學系,---,英　文(學測) x 1.50、數學乙(分科) x 1.00、國　文(學測) x 1.00
東海大學,資訊管理學系,數學 A (底標)或 數學 B (底標),英　文(學測) x 1.00、公民與社會(分科) x 2.00、國　文(學測) x 2.00
東海大學,經濟學系,---,國　文(學測) x 2.00、數學乙(分科) x 2.00、英　文(學測) x 1.00
東海大學,高齡健康與運動科學學士學位學程,---,英　文(學測) x 1.50、國　文(學測) x 1.25、數學乙(分科) x 1.00
東海大學,食品科學系,---,自　然(學測) x 2.00、化　學(分科) x 1.00、國　文(學測) x 1.50
東海大學,美術學系,---,美　術(術科) x 2.00、國　文(學測) x 2.00、英　文(學測) x 1.00、公民與社會(分科) x 1.00
東海大學,哲學系,---,公民與社會(分科) x 1.50、歷　史(分科) x 1.50、國　文(學測) x 1.00
東海大學,化學系化學組,---,化　學(分科) x 2.00、英　文(學測) x 1.00、國　文(學測) x 1.00
東海大學,智慧計算暨應用數學系(A組),---,數學甲(分科) x 2.00、國　文(學測) x 2.00、英　文(學測) x 1.00
東海大學,工業工程與經營資訊學系(智慧設計與生產組),---,數學甲(分科) x 2.00、英　文(學測) x 1.50、國　文(學測) x 1.00
東海大學,企業管理學系,---,社　會(學測) x 2.00、國　文(學測) x 1.50、公民與社會(分科) x 1.50
東海大學,國際經營與貿易學系,數學 B (底標),公民與社會(分科) x 2.00、英　文(學測) x 1.50、國　文(學測) x 1.50
東海大學,應用物理學系(B組),---,數學乙(分科) x 1.00、英　文(學測) x 1.00、國　文(學測) x 1.00
東海大學,會計學系,---,公民與社會(分科) x 2.00、英　文(學測) x 1.00、數學 B(學測) x 1.00、國　文(學測) x 1.00
東海大學,景觀學系,---,英　文(學測) x 1.50、國　文(學測) x 1.00、公民與社會(分科) x 1.00
東海大學,統計學系(決策管理組),---,數學乙(分科) x 2.00、國　文(學測) x 1.75、英　文(學測) x 1.00
東海大學,統計學系(巨量資料管理組),---,數學甲(分科) x 2.00、國　文(學測) x 1.75、英　文(學測) x 1.00
東海大學,法律學系,數學 A (後標)或 數學 B (後標),國　文(學測) x 1.50、英　文(學測) x 1.50、公民與社會(分科) x 1.50、歷　史(分科) x 1.00
東海大學,政治學系,---,英　文(學測) x 2.00、公民與社會(分科) x 2.00、國　文(學測) x 1.75
東海大學,社會學系,---,公民與社會(分科) x 2.00、社　會(學測) x 2.00、國　文(學測) x 1.75
東海大學,化學系化學生物組,---,化　學(分科) x 2.00、英　文(學測) x 1.00、自　然(學測) x 1.00
東海大學,畜產與生物科技學系,---,生　物(分科) x 2.00、英　文(學測) x 1.00、國　文(學測) x 1.00
東海大學,工業設計學系(B組),---,國　文(學測) x 2.00、英　文(學測) x 2.00、公民與社會(分科) x 1.00
東海大學,餐旅管理學系,---,公民與社會(分科) x 1.50、社　會(學測) x 1.25、英　文(學測) x 1.00
東海大學,生命科學系(生態暨生物多樣性組),---,生　物(分科) x 2.00、英　文(學測) x 2.00、國　文(學測) x 1.75
東海大學,智慧計算暨應用數學系(B組),---,數學乙(分科) x 2.00、國　文(學測) x 2.00、英　文(學測) x 1.00
東海大學,工業工程與經營資訊學系(智慧經營與管理組),---,英　文(學測) x 2.00、數學乙(分科) x 1.50、國　文(學測) x 1.00
東海大學,建築學系(B組),---,數學 B(學測) x 1.50、歷　史(分科) x 1.50、英　文(學測) x 1.50、國　文(學測) x 1.00
東海大學,國際學院國際經營管理學位學程,---,英　文(學測) x 2.00、國　文(學測) x 1.00、公民與社會(分科) x 1.00
東海大學,永續科學與管理學士學位學程,---,英　文(學測) x 2.00、國　文(學測) x 1.00、化　學(分科) x 1.00
國立清華大學,計量財務金融學系甲組,---,數學甲(分科) x 1.50、英　文(學測) x 1.50、國　文(學測) x 1.00
國立清華大學,外國語文學系,英　聽 (Ａ級),英　文(學測) x 2.00、國　文(學測) x 1.50、歷　史(分科) x 1.00、地　理(分科) x 1.00、數學 B(學測) x 1.00
國立清華大學,中國文學系甲組(一般組),數學 B (均標),國　文(學測) x 1.50、英　文(學測) x 1.25、數學 B(學測) x 1.00、歷　史(分科) x 1.00、地　理(分科) x 1.00
國立清華大學,數學系甲組(數學組),---,數學甲(分科) x 2.00、物　理(分科) x 1.50、英　文(學測) x 1.50、化　學(分科) x 1.00
國立清華大學,數學系乙組(應用數學組),---,數學甲(分科) x 2.00、物　理(分科) x 1.50、英　文(學測) x 1.50、化　學(分科) x 1.00
國立清華大學,物理學系物理組(甲組一般組),數學 A (前標),物　理(分科) x 1.50、數學甲(分科) x 1.50、英　文(學測) x 1.00、化　學(分科) x 1.00、國　文(學測) x 1.00
國立清華大學,物理學系光電物理組,---,物　理(分科) x 1.50、數學甲(分科) x 1.50、英　文(學測) x 1.00、化　學(分科) x 1.00、國　文(學測) x 1.00
國立清華大學,化學系,---,化　學(分科) x 1.00、物　理(分科) x 1.00、數學甲(分科) x 1.00、英　文(學測) x 1.00、國　文(學測) x 1.00
國立清華大學,生醫工程與環境科學系,---,英　文(學測) x 1.00、數學甲(分科) x 1.00、物　理(分科) x 1.00、化　學(分科) x 1.00、國　文(學測) x 1.00
國立清華大學,工程與系統科學系甲組(低碳綠能組),---,英　文(學測) x 1.00、物　理(分科) x 1.00、數學甲(分科) x 1.00、化　學(分科) x 1.00、國　文(學測) x 1.00
國立清華大學,化學工程學系,英　文 (前標),數學甲(分科) x 1.00、物　理(分科) x 1.00、化　學(分科) x 1.00、英　文(學測) x 1.00、國　文(學測) x 1.00
國立清華大學,動力機械工程學系甲組,英　文 (前標),數學甲(分科) x 1.00、物　理(分科) x 1.00、英　文(學測) x 1.00、化　學(分科) x 1.00、國　文(學測) x 1.00
國立清華大學,材料科學工程學系甲組,英　文 (前標),物　理(分科) x 1.00、化　學(分科) x 1.00、英　文(學測) x 1.00、數學甲(分科) x 1.00
國立清華大學,工業工程與工程管理學系,---,數學甲(分科) x 1.50、英　文(學測) x 1.50、物　理(分科) x 1.00、國　文(學測) x 1.00
國立清華大學,電機工程學系甲組,---,英　文(學測) x 1.00、數學甲(分科) x 2.00、物　理(分科) x 2.00、化　學(分科) x 2.00
國立清華大學,資訊工程學系甲組(電子資訊組),英　文 (前標) 自　然 (前標),數學甲(分科) x 1.00、物　理(分科) x 1.00、英　文(學測) x 1.00、國　文(學測) x 1.00、化　學(分科) x 1.00
國立清華大學,生命科學系,---,生　物(分科) x 1.25、英　文(學測) x 1.25、化　學(分科) x 1.25、數學甲(分科) x 1.00、物　理(分科) x 1.00
國立清華大學,經濟學系第1組,英　聽 (B級),英　文(學測) x 2.00、數學甲(分科) x 2.00、國　文(學測) x 1.00
國立清華大學,工程與系統科學系乙組(智慧奈米系統組),---,英　文(學測) x 1.00、物　理(分科) x 1.00、數學甲(分科) x 1.00、化　學(分科) x 1.00、國　文(學測) x 1.00
國立清華大學,科技管理學院學士班,---,數學甲(分科) x 1.00、英　文(學測) x 1.00、物　理(分科) x 1.00、化　學(分科) x 1.00
國立清華大學,理學院學士班,數學 A (前標),數學甲(分科) x 1.50、物　理(分科) x 1.25、化　學(分科) x 1.00、英　文(學測) x 1.00、國　文(學測) x 1.00
國立清華大學,人文社會學院學士班,---,英　文(學測) x 1.50、數學乙(分科) x 1.50、國　文(學測) x 1.50、歷　史(分科) x 1.00、公民與社會(分科) x 1.00
國立清華大學,工學院學士班,英　文 (前標),數學甲(分科) x 1.00、物　理(分科) x 1.00、化　學(分科) x 1.00、英　文(學測) x 1.00、國　文(學測) x 1.00
國立清華大學,生命科學暨醫學院學士班,英　文 (前標),生　物(分科) x 1.00、化　學(分科) x 1.00、物　理(分科) x 1.00、數學甲(分科) x 1.00
國立清華大學,電機資訊學院學士班,---,數學甲(分科) x 1.00、英　文(學測) x 1.00、物　理(分科) x 1.00、化　學(分科) x 1.00、國　文(學測) x 1.00
國立清華大學,原子科學院學士班,---,英　文(學測) x 1.00、數學甲(分科) x 1.00、物　理(分科) x 1.00、化　學(分科) x 1.00、國　文(學測) x 1.00
國立清華大學,醫學科學系,---,生　物(分科) x 1.50、化　學(分科) x 1.50、英　文(學測) x 1.50、數學甲(分科) x 1.00、物　理(分科) x 1.00
國立清華大學,資訊工程學系乙組(資訊工程組),國　文 (均標) 英　文 (前標),數學甲(分科) x 1.00、物　理(分科) x 1.00、英　文(學測) x 1.00、國　文(學測) x 1.00、化　學(分科) x 1.00
國立清華大學,動力機械工程學系乙組,---,數學甲(分科) x 1.00、物　理(分科) x 1.00、英　文(學測) x 1.00、化　學(分科) x 1.00、國　文(學測) x 1.00
國立清華大學,經濟學系第2組,英　聽 (B級),英　文(學測) x 2.00、數學 A(學測) x 2.00、國　文(學測) x 1.00、歷　史(分科) x 1.00、地　理(分科) x 1.00
國立清華大學,電機工程學系乙組,英　文 (頂標),數學甲(分科) x 1.00、物　理(分科) x 2.00、化　學(分科) x 1.00
國立清華大學,中國文學系乙組(華語文教學組),---,國　文(學測) x 1.50、英　文(學測) x 1.50、數學 B(學測) x 1.00、歷　史(分科) x 1.00、地　理(分科) x 1.00
國立清華大學,物理學系物理組(乙組天文物理組),---,物　理(分科) x 1.50、數學甲(分科) x 1.50、英　文(學測) x 1.00、化　學(分科) x 1.00、國　文(學測) x 1.00
國立清華大學,材料科學工程學系乙組,---,物　理(分科) x 1.00、化　學(分科) x 1.00、英　文(學測) x 1.00、數學甲(分科) x 1.00
國立清華大學,教育與學習科技學系,---,國　文(學測) x 2.00、英　文(學測) x 2.00、數學 B(學測) x 1.00、歷　史(分科) x 1.00
國立清華大學,幼兒教育學系,---,英　文(學測) x 2.00、國　文(學測) x 2.00、歷　史(分科) x 1.50、地　理(分科) x 1.00、公民與社會(分科) x 1.00
國立清華大學,環境與文化資源學系,---,公民與社會(分科) x 1.75、地　理(分科) x 1.50、英　文(學測) x 2.00、國　文(學測) x 1.00、數學 B(學測) x 1.00
國立清華大學,特殊教育學系,---,國　文(學測) x 2.00、英　文(學測) x 2.00、歷　史(分科) x 1.00、公民與社會(分科) x 1.00
國立清華大學,教育心理與諮商學系甲組,---,英　文(學測) x 2.00、國　文(學測) x 1.50、數學 B(學測) x 1.50、公民與社會(分科) x 1.00
國立清華大學,資訊工程學系丙組(人工智慧組),自　然 (前標),數學甲(分科) x 1.00、物　理(分科) x 1.00、英　文(學測) x 1.00、國　文(學測) x 1.00、化　學(分科) x 1.00
國立清華大學,英語教學系,英　聽 (Ａ級),英　文(學測) x 2.00、國　文(學測) x 1.50、歷　史(分科) x 1.00、數學 B(學測) x 1.00、地　理(分科) x 1.00
國立清華大學,竹師教育學院學士班,數學 A (均標)或 數學 B (前標),英　文(學測) x 2.00、國　文(學測) x 1.00、生　物(分科) x 1.50
國立清華大學,藝術與設計學系設計組,---,國　文(學測) x 1.50、英　文(學測) x 1.00、歷　史(分科) x 1.50
國立清華大學,藝術與設計學系創作組,---,美　術(術科) x 2.00、國　文(學測) x 1.50、英　文(學測) x 1.00、歷　史(分科) x 1.50
國立清華大學,藝術學院學士班,---,英　文(學測) x 1.50、國　文(學測) x 1.50、數學乙(分科) x 1.00
國立清華大學,運動科學系,---,英　文(學測) x 2.00、數學甲(分科) x 1.25、國　文(學測) x 1.25
國立清華大學,教育心理與諮商學系乙組,---,英　文(學測) x 2.00、國　文(學測) x 1.50、數學乙(分科) x 1.50、生　物(分科) x 1.00
國立清華大學,計量財務金融學系乙組,---,數學乙(分科) x 1.50、英　文(學測) x 1.50、國　文(學測) x 1.00
中國醫藥大學,中醫學系甲組,---,國　文(學測) x 1.25、生　物(分科) x 1.00、社　會(學測) x 1.00、化　學(分科) x 1.00、數學甲(分科) x 1.25
中國醫藥大學,公共衛生學院大一不分系,---,生　物(分科) x 2.00、國　文(學測) x 2.00、英　文(學測) x 1.50
中國醫藥大學,牙醫學系,---,國　文(學測) x 1.00、生　物(分科) x 1.25、化　學(分科) x 1.00、物　理(分科) x 1.00、數學甲(分科) x 1.00
中國醫藥大學,物理治療學系,---,英　文(學測) x 1.50、生　物(分科) x 1.25、物　理(分科) x 1.00
中國醫藥大學,營養學系,---,英　文(學測) x 1.50、生　物(分科) x 1.50、國　文(學測) x 1.00
中國醫藥大學,醫療資訊學系,---,生　物(分科) x 1.25、英　文(學測) x 1.25、數學甲(分科) x 1.00
中國醫藥大學,醫學檢驗生物技術學系,---,化　學(分科) x 1.25、生　物(分科) x 1.25、英　文(學測) x 1.00
中國醫藥大學,醫學系,英　聽 (Ａ級),物　理(分科) x 1.00、化　學(分科) x 1.00、生　物(分科) x 1.00、數學甲(分科) x 1.00、國　文(學測) x 1.00
中國醫藥大學,生物醫學工程學系,---,國　文(學測) x 1.50、英　文(學測) x 1.50、生　物(分科) x 1.00
中國醫藥大學,藥學系,---,化　學(分科) x 1.00、英　文(學測) x 1.00、生　物(分科) x 1.00、數學 A(學測) x 1.00、國　文(學測) x 1.00
中國醫藥大學,護理學系,---,生　物(分科) x 1.00、英　文(學測) x 1.00、國　文(學測) x 1.00
中國醫藥大學,生物科技學系,---,英　文(學測) x 1.25、國　文(學測) x 1.25、生　物(分科) x 1.50
中國醫藥大學,運動醫學系,---,英　文(學測) x 2.00、生　物(分科) x 2.00、國　文(學測) x 1.00
中國醫藥大學,中國藥學暨中藥資源學系,---,國　文(學測) x 1.50、英　文(學測) x 1.50、化　學(分科) x 1.00
中國醫藥大學,藥用化妝品學系,---,化　學(分科) x 1.00、生　物(分科) x 1.00、英　文(學測) x 1.00
中國醫藥大學,生物醫學影像暨放射科學學系,---,生　物(分科) x 1.00、英　文(學測) x 1.00、國　文(學測) x 1.00
中國醫藥大學,中醫學系乙組,---,國　文(學測) x 1.25、生　物(分科) x 1.00、社　會(學測) x 1.00、化　學(分科) x 1.00、數學甲(分科) x 1.25
國立陽明交通大學,材料科學與工程學系,---,物　理(分科) x 1.00、化　學(分科) x 1.00、數學甲(分科) x 1.00、自　然(學測) x 1.00、英　文(學測) x 1.00
國立陽明交通大學,電機工程學系甲組(電資國際組),---,數學甲(分科) x 1.00、物　理(分科) x 1.00、化　學(分科) x 1.00、英　文(學測) x 2.00
國立陽明交通大學,電機工程學系乙組(電機工程組),英　文 (前標),數學甲(分科) x 1.50、物　理(分科) x 1.50、化　學(分科) x 1.00
國立陽明交通大學,資訊工程學系甲組,---,數學甲(分科) x 1.00、英　文(學測) x 1.00、物　理(分科) x 1.00、化　學(分科) x 1.00
國立陽明交通大學,資訊工程學系乙組,數學 A (均標),數學甲(分科) x 1.00、英　文(學測) x 1.00、物　理(分科) x 1.00、化　學(分科) x 1.00
國立陽明交通大學,機械工程學系,國　文 (均標),數學甲(分科) x 1.00、物　理(分科) x 1.00、英　文(學測) x 1.00、化　學(分科) x 1.00
國立陽明交通大學,土木工程學系(科技暨基礎建設永續發展組),---,數學甲(分科) x 1.00、物　理(分科) x 1.00、英　文(學測) x 1.00、化　學(分科) x 1.00
國立陽明交通大學,材料科學與工程學系-伊利諾雙聯組,---,物　理(分科) x 1.00、化　學(分科) x 1.00、數學甲(分科) x 1.00、自　然(學測) x 1.00、英　文(學測) x 1.00
國立陽明交通大學,電子物理學系電子物理組,---,物　理(分科) x 1.00、數學甲(分科) x 1.00、化　學(分科) x 1.00、英　文(學測) x 1.00
國立陽明交通大學,應用數學系,---,數學甲(分科) x 2.00、物　理(分科) x 1.50、化　學(分科) x 1.00、英　文(學測) x 1.50
國立陽明交通大學,應用化學系,---,化　學(分科) x 1.50、物　理(分科) x 1.00、數學甲(分科) x 1.00、英　文(學測) x 1.00、國　文(學測) x 1.00
國立陽明交通大學,生物科技學系甲組,---,生　物(分科) x 1.50、化　學(分科) x 1.25、英　文(學測) x 1.25、數學甲(分科) x 1.00、物　理(分科) x 1.00
國立陽明交通大學,管理科學系(自然組),---,數學甲(分科) x 2.00、英　文(學測) x 1.50、國　文(學測) x 1.00
國立陽明交通大學,運輸與物流管理學系,---,數學甲(分科) x 1.50、英　文(學測) x 1.50、國　文(學測) x 1.00、物　理(分科) x 1.00
國立陽明交通大學,工業工程與管理學系甲組,---,數學甲(分科) x 1.00、英　文(學測) x 1.00、國　文(學測) x 1.00、物　理(分科) x 1.00
國立陽明交通大學,外國語文學系,---,英　文(學測) x 2.00、國　文(學測) x 1.50、地　理(分科) x 1.00、歷　史(分科) x 1.00
國立陽明交通大學,電子物理學系光電與奈米科學組,---,物　理(分科) x 1.50、數學甲(分科) x 1.00、化　學(分科) x 1.00、英　文(學測) x 1.00
國立陽明交通大學,光電工程學系,---,物　理(分科) x 1.50、化　學(分科) x 1.50、數學甲(分科) x 1.00、英　文(學測) x 2.00
國立陽明交通大學,資訊管理與財務金融學系資訊管理組,---,數學甲(分科) x 2.00、英　文(學測) x 1.50、國　文(學測) x 1.00
國立陽明交通大學,人文社會學系,---,國　文(學測) x 1.00、英　文(學測) x 1.00、公民與社會(分科) x 1.00、歷　史(分科) x 1.00、地　理(分科) x 1.00
國立陽明交通大學,傳播與科技學系,---,國　文(學測) x 1.50、英　文(學測) x 1.50、數學乙(分科) x 1.00、歷　史(分科) x 1.00、地　理(分科) x 1.00
國立陽明交通大學,生物科技學系乙組,---,數學甲(分科) x 1.25、化　學(分科) x 1.25、物　理(分科) x 1.25、英　文(學測) x 1.00
國立陽明交通大學,半導體工程學系奈米科學組,---,數學甲(分科) x 1.50、物　理(分科) x 1.50、化　學(分科) x 1.00、英　文(學測) x 1.00
國立陽明交通大學,半導體工程學系固態電子組,---,數學甲(分科) x 1.50、物　理(分科) x 1.50、化　學(分科) x 1.00、英　文(學測) x 1.00
國立陽明交通大學,理學院科學學士學位學程甲組,---,物　理(分科) x 1.00、數學甲(分科) x 1.00、化　學(分科) x 1.00、英　文(學測) x 1.00
國立陽明交通大學,資訊管理與財務金融學系財務金融組,---,數學乙(分科) x 2.00、英　文(學測) x 2.00、國　文(學測) x 1.00
國立陽明交通大學,工業工程與管理學系乙組,---,數學乙(分科) x 1.00、英　文(學測) x 1.00、國　文(學測) x 1.00
國立陽明交通大學,護理學系,---,英　文(學測) x 1.50、生　物(分科) x 1.00、化　學(分科) x 1.00、國　文(學測) x 1.00
國立陽明交通大學,牙醫學系,國　文 (前標) 英　聽 (Ａ級),生　物(分科) x 1.00、化　學(分科) x 1.00、英　文(學測) x 1.00、數學甲(分科) x 1.00、物　理(分科) x 1.00
國立陽明交通大學,生命科學系暨基因體科學研究所,---,生　物(分科) x 1.50、化　學(分科) x 1.25、數學甲(分科) x 1.00、物　理(分科) x 1.00、英　文(學測) x 1.00
國立陽明交通大學,醫學系(自費),國　文 (前標),英　文(學測) x 1.00、生　物(分科) x 1.00、化　學(分科) x 1.00、數學甲(分科) x 1.00、物　理(分科) x 1.00
國立陽明交通大學,生物醫學工程學系,---,數學甲(分科) x 1.00、物　理(分科) x 1.25、化　學(分科) x 1.25、英　文(學測) x 1.00
國立陽明交通大學,物理治療暨輔助科技學系,---,生　物(分科) x 1.00、英　文(學測) x 1.00、物　理(分科) x 1.00、數學甲(分科) x 1.00、化　學(分科) x 1.00
國立陽明交通大學,醫學生物技術暨檢驗學系,---,化　學(分科) x 2.00、英　文(學測) x 1.75、生　物(分科) x 1.75、國　文(學測) x 1.00
國立陽明交通大學,生物醫學影像暨放射科學系,---,數學甲(分科) x 1.25、化　學(分科) x 1.25、物　理(分科) x 1.25、英　文(學測) x 1.00、生　物(分科) x 1.00
國立陽明交通大學,學士班大一大二不分系,---,生　物(分科) x 1.50、物　理(分科) x 1.00、化　學(分科) x 1.00、數學甲(分科) x 1.00、英　文(學測) x 1.00
國立陽明交通大學,藥學系,國　文 (均標),化　學(分科) x 1.00、數學甲(分科) x 1.00、英　文(學測) x 1.00、生　物(分科) x 1.00、物　理(分科) x 1.00
國立陽明交通大學,醫學系(公費),國　文 (前標),英　文(學測) x 1.00、生　物(分科) x 1.00、化　學(分科) x 1.00、數學甲(分科) x 1.00、物　理(分科) x 1.00
國立陽明交通大學,管理科學系(社會組),---,數學乙(分科) x 2.00、英　文(學測) x 2.00、國　文(學測) x 1.00
國立陽明交通大學,電機工程學系丙組(醫學電資組),英　文 (前標) 自　然 (均標),物　理(分科) x 1.50、化　學(分科) x 1.00、數學甲(分科) x 1.00
國立陽明交通大學,中醫學系,---,生　物(分科) x 1.00、英　文(學測) x 1.00、化　學(分科) x 1.00、數學甲(分科) x 1.00、國　文(學測) x 1.00
淡江大學,中國文學學系,---,國　文(學測) x 2.00、歷　史(分科) x 1.50、英　文(學測) x 1.00
淡江大學,教育科技學系,---,公民與社會(分科) x 2.00、國　文(學測) x 2.00、英　文(學測) x 1.00
淡江大學,公共行政暨法律學系,---,國　文(學測) x 1.50、公民與社會(分科) x 1.00、歷　史(分科) x 1.00
淡江大學,化學工程與材料工程學系,---,化　學(分科) x 1.50、數學甲(分科) x 1.00、國　文(學測) x 1.00
淡江大學,應用數學與數據科學學系,---,數學甲(分科) x 2.00、英　文(學測) x 1.50、國　文(學測) x 1.50
淡江大學,資訊與圖書館學系,---,英　文(學測) x 1.00、國　文(學測) x 2.00、公民與社會(分科) x 1.00
淡江大學,歷史學系,---,歷　史(分科) x 2.00、國　文(學測) x 1.50、英　文(學測) x 1.00
淡江大學,資訊管理學系,---,數學 B(學測) x 1.00、英　文(學測) x 2.00、公民與社會(分科) x 1.50
淡江大學,運輸管理學系,---,國　文(學測) x 2.00、地　理(分科) x 1.50、數學 B(學測) x 1.00
淡江大學,土木工程學系,---,物　理(分科) x 1.25、數學甲(分科) x 1.00、國　文(學測) x 2.00
淡江大學,資訊工程學系,---,數學甲(分科) x 2.00、英　文(學測) x 2.00、國　文(學測) x 1.50
淡江大學,電機工程學系(電機資訊組),---,數學甲(分科) x 1.50、英　文(學測) x 1.00、國　文(學測) x 1.00
淡江大學,管理科學學系,---,國　文(學測) x 1.00、數學 B(學測) x 1.00、公民與社會(分科) x 1.00
淡江大學,企業管理學系全英語學士班,---,英　文(學測) x 2.00、國　文(學測) x 1.50、歷　史(分科) x 1.50
淡江大學,歐洲語文學系西文組,---,英　文(學測) x 1.00、國　文(學測) x 1.00、歷　史(分科) x 1.00
淡江大學,日本語文學系,---,國　文(學測) x 2.00、英　文(學測) x 1.00、歷　史(分科) x 1.00
淡江大學,大眾傳播學系,---,英　文(學測) x 1.00、國　文(學測) x 1.00、公民與社會(分科) x 1.00
淡江大學,歐洲語文學系法文組,---,英　文(學測) x 1.00、國　文(學測) x 1.00、歷　史(分科) x 1.00
淡江大學,歐洲語文學系俄文組,---,英　文(學測) x 1.00、國　文(學測) x 1.00、歷　史(分科) x 1.00
淡江大學,英文學系,---,英　文(學測) x 2.00、國　文(學測) x 1.00、歷　史(分科) x 1.00
淡江大學,資訊傳播學系,---,國　文(學測) x 2.00、英　文(學測) x 1.00、公民與社會(分科) x 1.00
淡江大學,歐洲語文學系德文組,---,英　文(學測) x 1.00、國　文(學測) x 1.00、地　理(分科) x 1.00
淡江大學,企業管理學系,---,國　文(學測) x 1.50、歷　史(分科) x 1.50、英　文(學測) x 1.00
淡江大學,風險管理與保險學系,---,國　文(學測) x 1.00、公民與社會(分科) x 1.00、數學 B(學測) x 1.00
淡江大學,財務金融學系,---,數學 B(學測) x 2.00、國　文(學測) x 1.00、公民與社會(分科) x 1.00
淡江大學,國際企業學系經貿管理組,---,英　文(學測) x 1.00、國　文(學測) x 1.00、公民與社會(分科) x 1.00
淡江大學,統計與資料科學學系,---,數學 B(學測) x 1.50、地　理(分科) x 1.50、國　文(學測) x 1.00
淡江大學,會計學系,---,公民與社會(分科) x 1.50、國　文(學測) x 1.50、英　文(學測) x 1.00
淡江大學,經濟學系,---,數學 B(學測) x 2.00、國　文(學測) x 1.00、公民與社會(分科) x 1.00
淡江大學,水資源及環境工程學系,---,國　文(學測) x 2.00、英　文(學測) x 1.00、數學甲(分科) x 1.00
淡江大學,建築學系,數學 A (後標)或 數學 B (後標),英　文(學測) x 2.00、國　文(學測) x 2.00、物　理(分科) x 1.50
淡江大學,航空太空工程學系,數學 A (後標)或 數學 B (均標),物　理(分科) x 2.00、英　文(學測) x 2.00、國　文(學測) x 1.00
淡江大學,機械與機電工程學系,---,物　理(分科) x 1.00、數學 A(學測) x 1.00、國　文(學測) x 2.00
淡江大學,化學學系,---,化　學(分科) x 2.00、自　然(學測) x 2.00、英　文(學測) x 1.00
淡江大學,物理學系(量子材料組),---,物　理(分科) x 2.00、數學 A(學測) x 1.50、英　文(學測) x 1.00
淡江大學,物理學系(天文與基礎物理組),---,數學 A(學測) x 2.00、物　理(分科) x 1.50、英　文(學測) x 1.00、國　文(學測) x 1.00
淡江大學,英文學系全英語學士班,---,英　文(學測) x 2.00、國　文(學測) x 1.00、地　理(分科) x 1.00
淡江大學,全球政治經濟學系全英語學士班,---,英　文(學測) x 2.00、國　文(學測) x 1.00、公民與社會(分科) x 1.00
淡江大學,資訊工程學系全英語學士班,---,英　文(學測) x 2.00、數學 B(學測) x 2.00、歷　史(分科) x 1.50
淡江大學,人工智慧學系,數學 A (後標)或 數學 B (均標),英　文(學測) x 2.00、物　理(分科) x 2.00、國　文(學測) x 1.00
淡江大學,國際觀光管理學系全英語學士班,---,英　文(學測) x 1.25、國　文(學測) x 1.00、地　理(分科) x 1.00
淡江大學,電機工程學系(電機通訊組),---,數學甲(分科) x 1.50、自　然(學測) x 1.00、國　文(學測) x 1.00
淡江大學,電機工程學系(電機與系統組),---,數學甲(分科) x 1.50、英　文(學測) x 1.00、自　然(學測) x 1.00
淡江大學,財務金融學系全球財務管理全英語學士班,---,英　文(學測) x 2.00、公民與社會(分科) x 1.50、數學 B(學測) x 1.00
淡江大學,外交與國際關係學系全英語學士班,---,英　文(學測) x 1.50、歷　史(分科) x 1.00、國　文(學測) x 1.00
淡江大學,國際企業學系國際商學全英語組,---,英　文(學測) x 2.00、國　文(學測) x 1.00、公民與社會(分科) x 1.00
淡江大學,教育與未來設計學系,---,公民與社會(分科) x 2.00、國　文(學測) x 2.00、英　文(學測) x 1.00
逢甲大學,中國文學系,---,國　文(學測) x 2.00、歷　史(分科) x 2.00、英　文(學測) x 1.25
逢甲大學,財稅學系,---,英　文(學測) x 1.50、數學乙(分科) x 1.50、國　文(學測) x 1.25、歷　史(分科) x 1.00
逢甲大學,土地管理學系,---,國　文(學測) x 2.00、公民與社會(分科) x 1.75、英　文(學測) x 1.00、數學 B(學測) x 1.00
逢甲大學,企業管理學系,---,英　文(學測) x 2.00、國　文(學測) x 1.50、數學乙(分科) x 1.00、歷　史(分科) x 1.50
逢甲大學,合作經濟暨社會事業經營學系,---,英　文(學測) x 2.00、國　文(學測) x 1.50、歷　史(分科) x 1.00、數學乙(分科) x 1.00
逢甲大學,風險管理與保險學系,---,國　文(學測) x 1.50、地　理(分科) x 1.50、英　文(學測) x 1.00、數學 B(學測) x 1.00
