校名,學系名稱,學科能力測驗及英語聽力測驗檢定標準,採計科目及加權(含學測、分科及術科)
國立臺灣大學,地質科學系,自　然 (前標),數學甲(分科) x 1.00、英　文(學測) x 1.00、化　學(分科) x 1.00、物　理(分科) x 1.00、國　文(學測) x 1.00
國立臺灣大學,物理學系,自　然 (均標),物　理(分科) x 1.50、數學甲(分科) x 1.50、英　文(學測) x 1.00、化　學(分科) x 1.00
國立臺灣大學,數學系,數學 A (頂標) 自　然 (頂標),數學 A(學測) x 1.50、數學甲(分科) x 1.50、物　理(分科) x 1.00、化　學(分科) x 1.00、英　文(學測) x 1.00
國立臺灣大學,心理學系,---,數學甲(分科) x 1.00、英　文(學測) x 1.00、國　文(學測) x 1.00、生　物(分科) x 1.00、化　學(分科) x 1.00
國立臺灣大學,生命科學系,---,生　物(分科) x 1.00、英　文(學測) x 1.00、化　學(分科) x 1.00、數學甲(分科) x 1.00、物　理(分科) x 1.00
國立臺灣大學,森林環境暨資源學系,英　文 (均標),生　物(分科) x 2.00、數學甲(分科) x 1.00、化　學(分科) x 1.50、物　理(分科) x 1.50
國立臺灣大學,醫學工程學系,數學 A (前標),數學甲(分科) x 1.00、物　理(分科) x 1.00、化　學(分科) x 1.00、英　文(學測) x 1.00、國　文(學測) x 1.00
國立臺灣大學,國際體育運動事務學士學位學程,國　文 (均標) 英　文 (均標),英　文(學測) x 2.00、國　文(學測) x 1.25、數學 B(學測) x 1.00、公民與社會(分科) x 1.00
國立臺灣大學,植物病理與微生物學系,國　文 (前標) 英　文 (前標),生　物(分科) x 1.00、化　學(分科) x 1.00、數學甲(分科) x 1.00、英　文(學測) x 1.00、國　文(學測) x 1.00
國立臺灣大學,園藝暨景觀學系,國　文 (均標) 英　文 (均標),英　文(學測) x 1.00、生　物(分科) x 1.50、國　文(學測) x 1.00、化　學(分科) x 1.00、數學 A(學測) x 1.00
國立臺灣大學,農業化學系,---,化　學(分科) x 1.50、生　物(分科) x 1.50、英　文(學測) x 1.00、數學 A(學測) x 1.00、物　理(分科) x 1.00
國立臺灣大學,生化科技學系,---,化　學(分科) x 1.00、數學甲(分科) x 1.00、物　理(分科) x 1.00、生　物(分科) x 1.00、英　文(學測) x 1.00
國立臺灣大學,農業經濟學系A組,英　文 (均標) 數學 A (前標),數學甲(分科) x 2.00、英　文(學測) x 2.00、自　然(學測) x 1.00
國立臺灣大學,農藝學系,英　文 (均標),生　物(分科) x 1.25、化　學(分科) x 1.25、英　文(學測) x 1.00、數學 A(學測) x 1.00、國　文(學測) x 1.00
國立臺灣大學,獸醫學系,國　文 (前標) 自　然 (前標),英　文(學測) x 1.00、生　物(分科) x 1.00、化　學(分科) x 1.00、國　文(學測) x 1.00、數學甲(分科) x 1.00
國立臺灣大學,牙醫學系,國　文 (頂標) 英　文 (頂標),生　物(分科) x 1.00、化　學(分科) x 1.00、數學甲(分科) x 1.00、物　理(分科) x 1.00、英　文(學測) x 1.00
