校名,學系名稱,採計科目及加權(含學測、分科及術科),錄取分數,平均
國立臺灣大學,資訊管理學系,英x1.00、數甲x1.50、物x1.00、化x1.00,229,50.89
國立臺灣大學,公共衛生學系A組,英x1.25、數甲x1.25、物x1.00、化x1.00、生x1.00,255.75,46.50
國立臺灣大學,公共衛生學系B組,國x1.00、英x1.25、數Bx1.25、公x1.25,245,51.58
國立臺灣大學,電機工程學系,英x1.00、數甲x1.00、物x1.00、化x1.00,225,56.25
國立臺灣大學,資訊工程學系,英x1.00、數甲x1.25、物x1.00、化x1.00,235.5,55.41
國立臺灣大學,法律學系法學組,國x1.00、英x1.00、數Bx1.00、歷x1.00、公x1.25,285.5,54.38
國立臺灣大學,法律學系司法組,國x1.00、英x1.00、數Bx1.00、歷x1.00、公x1.25,289.75,55.19
國立臺灣大學,法律學系財經法學組,國x1.00、英x1.00、數Bx1.00、歷x1.00、公x1.25,295,56.19
國立臺灣大學,生命科學系,英x1.00、數Ax1.00、物x1.00、化x1.00、生x1.00,239,47.80
國立臺灣大學,生化科技學系,英x1.00、數甲x1.00、物x1.00、化x1.00、生x1.00,236,47.20
國立臺灣大學,國際體育運動事務學士學位學程,國x1.25、英x2.00、數Bx1.00、公x1.00,269.25,51.29
國立臺灣師範大學,教育學系,國x1.50、英x1.50、數Bx1.00、地x1.00、歷x1.00,274.5,45.75
國立臺灣師範大學,教育心理與輔導學系,國x1.00、英x1.25、數Bx1.25、歷x1.00、公x1.00,279.25,50.77
國立臺灣師範大學,社會教育學系,國x1.50、英x1.50、地x1.00、歷x1.00、公x1.50,310,47.69
國立臺灣師範大學,健康促進與衛生教育學系,國x1.00、英x1.50、數甲x1.00、生x1.50,204.5,40.90
國立臺灣師範大學,幼兒與家庭科學學系家庭生活與教育組,國x1.75、英x2.00、數Bx2.00、公x1.00,288.5,42.74
國立臺灣師範大學,幼兒與家庭科學學系幼兒發展與教育組,國x2.00、英x2.00、數Bx1.75、公x1.00,291.75,43.22
國立臺灣師範大學,公民教育與活動領導學系,國x1.25、英x1.25、數Bx1.00、公x2.00,246.25,44.77
國立臺灣師範大學,特殊教育學系,國x1.25、英x1.25、公x1.00,164.75,47.07
國立臺灣師範大學,學習科學學士學位學程,國x1.50、英x1.50、數甲x2.00,212,42.40
國立臺灣師範大學,教育學院學士班,國x1.00、英x1.00、公x1.00,148,49.33
國立臺灣師範大學,國文學系,國x2.00、英x1.50、地x1.00、歷x1.00,264.5,48.09
國立臺灣師範大學,英語學系,國x1.50、英x2.00、數Bx1.00、地x1.00、歷x1.00,305,46.92
國立臺灣師範大學,歷史學系,國x1.25、英x1.25、數Bx1.00、地x1.00、歷x1.50,276.25,46.04
國立臺灣師範大學,地理學系,國x1.00、英x1.25、數Bx1.00、地x1.50、歷x1.00,266.75,46.39
國立臺灣師範大學,臺灣語文學系,國x1.00、英x1.50、地x1.00、歷x1.50、公x1.50,310,47.69
國立臺灣師範大學,數學系,英x1.00、數甲x2.00、物x1.00,152,38.00
國立臺灣師範大學,物理學系,英x1.00、數甲x1.25、物x1.50,154.5,41.20
國立臺灣師範大學,化學系,國x1.00、英x1.00、數甲x1.25、物x1.50、化x1.75,266,40.92
國立臺灣師範大學,生命科學系,國x1.00、英x1.25、數甲x1.00、化x1.25、生x1.50,248.25,41.38
國立臺灣師範大學,地球科學系,英x1.00、數甲x2.00、物x2.00、化x1.50,238,36.62
國立臺灣師範大學,資訊工程學系,國x1.00、英x1.00、數甲x1.50、物x1.00、化x1.00,237.5,43.18
國立臺灣師範大學,營養科學學士學位學程,國x1.00、英x1.50、數甲x1.00、化x1.50、生x1.50,262,40.31
國立臺灣師範大學,工業教育學系,國x1.00、英x1.00、數甲x1.50,157.5,45.00
國立臺灣師範大學,科技應用與人力資源發展學系,國x1.00、英x1.25、數Bx1.25、物x1.00、化x1.00,235.5,42.82
國立臺灣師範大學,圖文傳播學系,國x1.25、英x1.25、數甲x1.00、物x1.00、化x1.00,212.75,38.68
國立臺灣師範大學,機電工程學系,國x1.00、英x1.50、數甲x2.00、物x2.00、化x1.00,306.5,40.87
國立臺灣師範大學,電機工程學系,國x1.00、英x1.00、數甲x1.00、物x1.00、化x1.00,221,44.20
國立臺灣師範大學,車輛與能源工程學士學位學程,國x1.00、英x1.00、數甲x1.50、物x1.50,202.5,40.50
國立臺灣師範大學,光電工程學士學位學程,國x1.00、英x1.00、數甲x2.00、物x2.00、化x1.50,306,40.80
國立臺灣師範大學,華語文教學系應用華語文學組,國x2.00、英x2.00、歷x1.00,239,47.80
國立臺灣師範大學,東亞學系,國x1.50、英x2.00、數Bx1.00、歷x1.00、公x1.00,294,45.23
國立臺灣師範大學,企業管理學系,國x1.50、英x2.00、數Bx2.00、公x1.00,295,45.38
國立臺灣師範大學,設計學系產品設計組,國x2.00、英x2.00、自x2.00、數甲x1.00、物x1.00,340,42.50
國立臺灣師範大學,音樂學系,國x1.00、英x1.00、歷x1.00、術科x2.00,280.68,56.14
國立臺灣師範大學,表演藝術學士學位學程,國x1.75、英x1.25、歷x1.50,218.5,48.56
國立臺灣師範大學,設計學系視覺設計組,國x1.75、英x1.75、歷x1.00、術科x2.00,353.4,54.37
國立臺灣師範大學,美術學系繪畫組,國x1.00、英x1.00、歷x1.00、術科x1.50,236.07,52.46
國立臺灣師範大學,美術學系水墨畫組,國x1.00、英x1.00、歷x1.00、術科x1.50,235.95,52.43
國立臺灣師範大學,體育與運動科學系,國x1.00、英x2.00、數Bx1.00、生x1.50,220.5,40.09
國立中興大學,中國文學系,國x2.00、英x1.50、歷x1.25,214.25,45.11
國立中興大學,外國語文學系,國x1.00、英x2.00、歷x1.00,190,47.50
國立中興大學,歷史學系,國x1.00、英x1.00、地x1.00、歷x1.50,210.5,46.78
國立中興大學,台灣人文創新學士學位學程,國x2.00、英x1.00、地x1.50、歷x1.50,293.5,48.92
國立中興大學,財務金融學系,國x1.00、英x2.00、數甲x2.00,208,41.60
國立中興大學,企業管理學系,國x1.00、英x2.00、數Bx2.00、公x1.00,262,43.67
國立中興大學,法律學系,國x1.50、英x1.00、數Bx1.00、歷x1.00、公x1.50,291,48.50
國立中興大學,行銷學系,國x2.00、英x1.00、地x1.00、歷x1.00,241,48.20
國立中興大學,資訊管理學系,國x1.00、英x2.00、數甲x2.00,214,42.80
國立中興大學,會計學系,國x1.00、英x2.00、數Bx2.00、公x1.00,272,45.33
國立中興大學,應用經濟學系,國x1.00、英x2.00、數甲x1.50,185.5,41.22
國立中興大學,化學系,國x1.00、英x1.50、數甲x2.00、物x1.00、化x2.00,302,40.27
國立中興大學,物理學系一般物理組,國x1.00、英x1.50、數甲x1.50、物x1.50、化x1.00,262,40.31
國立中興大學,物理學系光電物理組,國x1.00、英x1.50、數甲x1.50、物x1.50、化x1.00,272.5,41.92
國立中興大學,應用數學系應用數學組,國x1.00、英x1.50、數甲x2.00、物x1.50、化x1.00,268,38.29
國立中興大學,應用數學系數據科學與計算組,國x1.00、英x1.50、數甲x2.00、物x1.50、化x1.00,269,38.43
國立中興大學,機械工程學系,國x1.00、英x1.50、數甲x2.00、物x2.00、化x1.00,302.5,40.33
國立中興大學,土木工程學系,國x1.00、英x1.50、數Ax2.00、物x2.00,272.5,41.92
國立中興大學,環境工程學系,國x1.00、英x1.00、數甲x1.50、物x1.50、化x1.50,251.5,38.69
國立中興大學,化學工程學系,國x1.00、英x1.00、數甲x1.00、物x1.00、化x1.00,212,42.40
國立中興大學,材料科學與工程學系,國x1.00、英x1.00、數甲x1.00、物x1.00、化x1.00,216,43.20
國立中興大學,智慧創意工程學士學位學程,國x1.00、英x1.00、數甲x1.50、物x1.00、化x1.00,226,41.09
國立中興大學,資訊工程學系,國x1.00、英x1.50、數甲x1.00、物x1.00、化x1.00,251.5,45.73
國立中興大學,電機工程學系甲組,國x1.00、英x1.00、數甲x1.00、物x1.00、化x1.00,239,47.80
國立中興大學,電機工程學系乙組,國x1.00、英x1.25、數甲x1.00、物x1.00、化x1.00,242.5,46.19
國立中興大學,電機資訊學院學士班,國x1.00、英x1.00、數甲x1.00、物x1.00、化x1.00,226,45.20
國立中興大學,水土保持學系,國x1.00、英x1.50、數甲x2.00、物x2.00,239.5,36.85
國立中興大學,生物產業機電工程學系,國x1.00、英x1.00、數甲x1.00、物x1.00、化x1.00,197,39.40
國立中興大學,農藝學系,國x1.00、英x1.50、數Bx1.00、化x1.50、生x1.50,242.5,37.31
國立中興大學,園藝學系,國x1.00、英x1.50、數Bx1.00、化x1.50、生x2.00,263.5,37.64
國立中興大學,森林學系林學組,英x1.50、數Bx1.00、物x1.00、化x1.00、生x1.50,206,34.33
國立中興大學,森林學系木材科學組,英x1.50、數Bx1.00、物x1.25、化x1.50、生x1.00,211.5,33.84
國立中興大學,植物病理學系,國x1.00、英x1.50、數Ax1.00、化x1.50、生x1.50,254.5,39.15
國立中興大學,昆蟲學系,國x1.00、英x1.50、數Ax1.00、化x1.50、生x1.50,235.5,36.23
