校名,學系名稱,採計科目及加權(含學測、分科及術科),錄取分數,平均
國立臺灣大學,中國文學系,國x1.50、英x1.25、地x1.00、歷x1.25,259,51.80
國立臺灣大學,外國語文學系,國x1.25、英x2.00、地x1.00、歷x1.00,282.75,53.86
國立臺灣大學,歷史學系,國x1.00、英x1.00、地x1.00、歷x1.00、公x1.00,263,52.60
國立臺灣大學,哲學系,國x1.00、英x1.00、歷x1.00、公x1.00,203,50.75
國立臺灣大學,人類學系,國x1.00、英x1.50、地x1.00、歷x1.00、公x1.00,282.5,51.36
國立臺灣大學,圖書資訊學系,國x1.25、英x1.25、歷x1.00、公x1.00,238,52.89
國立臺灣大學,日本語文學系,國x1.50、英x1.50、地x1.00、歷x1.00、公x1.00,317,52.83
國立臺灣大學,戲劇學系(男),國x1.50、英x1.50、數Bx1.00、地x1.00、歷x1.00,285.5,47.58
國立臺灣大學,戲劇學系(女),國x1.50、英x1.50、數Bx1.00、地x1.00、歷x1.00,290.5,48.42
國立臺灣大學,數學系,英x1.00、數Ax1.50、數甲x1.50、物x1.00、化x1.00,301,50.17
國立臺灣大學,物理學系,英x1.00、數甲x1.50、物x1.50、化x1.00,266.5,53.30
國立臺灣大學,化學系,國x1.00、英x1.00、數甲x1.00、物x1.00、化x1.00,250,50.00
國立臺灣大學,地質科學系,國x1.00、英x1.00、數甲x1.00、物x1.00、化x1.00,232,46.40
國立臺灣大學,心理學系,國x1.00、英x1.00、數甲x1.00、化x1.00、生x1.00,250,50.00
國立臺灣大學,地理環境資源學系A組,數甲x1.00、物x1.00、化x1.00,138,46.00
國立臺灣大學,地理環境資源學系B組,數Bx1.00、地x1.25、公x1.00,175.25,53.92
國立臺灣大學,大氣科學系,國x1.00、英x1.00、數甲x1.25、物x1.25、化x1.25,269,46.78
國立臺灣大學,政治學系政治理論組,國x1.25、英x1.25、社x1.00、地x1.00、歷x1.00,299.5,54.45
國立臺灣大學,政治學系國際關係組,國x1.25、英x1.25、社x1.00、地x1.00、歷x1.00,309,56.18
國立臺灣大學,政治學系公共行政組,國x1.25、英x1.25、社x1.00、地x1.00、歷x1.00,301,54.73
國立臺灣大學,經濟學系A組,英x1.50、數甲x2.00、物x1.00,222.5,49.44
國立臺灣大學,經濟學系B組,英x1.50、數Ax2.00、地x1.00、公x1.00,279,50.73
國立臺灣大學,社會學系,國x1.00、英x1.00、數Bx1.00、歷x1.00、公x1.00,256,51.20
國立臺灣大學,社會工作學系,國x1.25、英x1.25、數Bx1.00、歷x1.00、公x1.00,267.25,48.59
國立臺灣大學,醫學系(自費),英x1.00、數甲x1.00、物x1.00、化x1.00、生x1.00,287,57.40
國立臺灣大學,醫學系(公費),英x1.00、數甲x1.00、物x1.00、化x1.00、生x1.00,262,52.40
國立臺灣大學,牙醫學系,英x1.00、數甲x1.00、物x1.00、化x1.00、生x1.00,283,56.60
國立臺灣大學,藥學系,英x1.00、數甲x1.00、物x1.00、化x2.00、生x2.00,371,53.00
國立臺灣大學,醫學檢驗暨生物技術學系,國x1.00、英x1.00、數甲x1.00、化x1.00、生x1.00,254,50.80
國立臺灣大學,護理學系,國x1.00、英x1.00、數甲x1.00、化x1.00、生x1.00,241,48.20
國立臺灣大學,物理治療學系,英x1.00、數甲x1.00、物x1.00、化x1.00、生x1.00,253,50.60
國立臺灣大學,職能治療學系,國x1.25、英x1.50、數甲x1.00、生x1.00,246,51.79
國立臺灣大學,土木工程學系,國x1.00、英x1.00、數甲x1.00、物x1.00、化x1.00,241,48.20
國立臺灣大學,機械工程學系,國x1.00、英x1.00、數甲x1.00、物x1.00、化x1.00,255,51.00
國立臺灣大學,化學工程學系,英x1.00、數甲x1.25、物x1.25、化x1.25,239.75,50.47
國立臺灣大學,工程科學及海洋工程學系,英x1.00、數甲x2.00、物x2.00、化x1.00,302,50.33
國立臺灣大學,材料科學與工程學系,國x1.00、英x1.00、數甲x1.00、物x1.00、化x1.00,262,52.40
國立臺灣大學,醫學工程學系,國x1.00、英x1.00、數甲x1.00、物x1.00、化x1.00,253,50.60
國立臺灣大學,農藝學系,國x1.00、英x1.00、數甲x1.00、化x1.25、生x1.25,256.5,46.64
國立臺灣大學,生物環境系統工程學系,國x1.00、英x1.00、數甲x1.00、物x1.00、化x1.00,235,47.00
國立臺灣大學,農業化學系,英x1.00、數Ax1.00、物x1.00、化x1.50、生x1.50,287,47.83
國立臺灣大學,森林環境暨資源學系,數甲x1.00、物x1.50、化x1.50、生x2.00,260.5,43.42
國立臺灣大學,動物科學技術學系,英x1.00、數甲x1.00、化x1.00、生x1.00,189,47.25
國立臺灣大學,農業經濟學系,英x2.00、自x1.00、數甲x2.00,235,47.00
國立臺灣大學,園藝暨景觀學系,國x1.00、英x1.00、數Ax1.00、化x1.00、生x1.50,262,47.64
國立臺灣大學,獸醫學系,國x1.00、英x1.00、數甲x1.00、化x1.00、生x1.00,261,52.20
國立臺灣大學,生物產業傳播暨發展學系,國x1.50、英x1.50、數Ax1.50、地x1.00、歷x1.00,315.5,48.54
國立臺灣大學,生物機電工程學系,國x1.00、英x1.00、數甲x1.00、物x1.00、化x1.00,248,49.60
國立臺灣大學,昆蟲學系,英x1.00、數甲x1.00、物x1.00、化x1.50、生x2.00,281,43.23
國立臺灣大學,植物病理與微生物學系,國x1.00、英x1.00、數甲x1.00、化x1.00、生x1.00,237,47.40
國立臺灣大學,工商管理學系企業管理組A組,英x1.00、數Ax1.00、數甲x1.00、地x1.00、歷x1.00,247,49.40
國立臺灣大學,工商管理學系企業管理組B組,英x1.00、數Ax1.00、地x1.00、歷x1.00、公x1.00,262,52.40
國立臺灣大學,工商管理學系科技管理組,英x1.00、數Ax1.00、數甲x1.00、物x1.00、化x1.00,241,48.20
國立臺灣大學,會計學系A組,國x1.00、英x1.50、數甲x1.50,210.5,52.62
國立臺灣大學,會計學系B組,國x1.25、英x1.50、數Ax1.25、地x1.00、公x1.00,309.25,51.54
國立臺灣大學,財務金融學系A組,國x1.00、英x1.50、數甲x2.00,240,53.33
國立臺灣大學,財務金融學系B組,英x1.50、地x1.00、歷x1.00、公x1.00,254,56.44
國立臺灣大學,國際企業學系A組,英x2.00、數甲x1.00、公x1.00,212,53.00
國立臺灣大學,國際企業學系B組,英x2.00、數Ax1.00、地x1.00、歷x1.00、公x1.00,320,53.33
國立臺灣大學,資訊管理學系,英x1.00、數甲x1.50、物x1.00、化x1.00,244,54.22
國立臺灣大學,公共衛生學系A組,英x1.25、數甲x1.25、物x1.00、化x1.00、生x1.00,263.5,47.91
國立臺灣大學,公共衛生學系B組,國x1.00、英x1.25、數Ax1.25、公x1.25,235,49.47
國立臺灣大學,電機工程學系,英x1.00、數甲x1.00、物x1.00、化x1.00,229,57.25
國立臺灣大學,資訊工程學系,英x1.00、數甲x1.25、物x1.00、化x1.00,238.5,56.12
國立臺灣大學,法律學系法學組,國x1.00、英x1.00、數Bx1.00、歷x1.00、公x1.25,285,54.29
國立臺灣大學,法律學系司法組,國x1.00、英x1.00、數Bx1.00、歷x1.00、公x1.25,288.25,54.90
國立臺灣大學,法律學系財經法學組,國x1.00、英x1.00、數Bx1.00、歷x1.00、公x1.25,292,55.62
國立臺灣大學,生命科學系,英x1.00、數甲x1.00、物x1.00、化x1.00、生x1.00,243,48.60
國立臺灣大學,生化科技學系,英x1.00、數甲x1.00、物x1.00、化x1.00、生x1.00,241,48.20
國立臺灣大學,國際體育運動事務學士學位學程,國x1.25、英x2.00、數Bx1.00、公x1.00,265,50.48
國立臺灣師範大學,教育學系,國x1.50、英x1.50、數Bx1.00、地x1.00、歷x1.00,275,45.83
國立臺灣師範大學,教育心理與輔導學系,國x1.00、英x1.25、數Bx1.25、歷x1.00、公x1.00,278.75,50.68
國立臺灣師範大學,社會教育學系,國x1.50、英x1.50、地x1.00、歷x1.00、公x1.50,311,47.85
國立臺灣師範大學,健康促進與衛生教育學系,國x1.00、英x1.50、數甲x1.00、生x1.50,213,42.60
國立臺灣師範大學,幼兒與家庭科學學系家庭生活與教育組,國x1.75、英x2.00、數Bx2.00、公x1.00,290.75,43.07
國立臺灣師範大學,幼兒與家庭科學學系幼兒發展與教育組,國x2.00、英x2.00、數Bx1.75、公x1.00,295.5,43.78
